Date,Open,High,Low,Close,Volume
2019-07-10,269.29,270.33,268.6,268.75,
2019-07-09,269.6,270.22,267.72,267.72,71884984
2019-07-08,271.38,271.67,268.38,268.55,75098280
2019-07-05,274.74,275.23,272.41,274.35,60022240
2019-07-04,273.18,274.61,271.93,274.54,77523216
2019-07-03,275.57,276.69,271.9,272.37,97522784
2019-07-02,276.06,277.46,274.63,275.97,65541624
2019-07-01,279.59,279.68,276.85,277.27,74357416
2019-06-28,278.03,278.56,276.58,277.5,67598320
2019-06-27,275.47,278.63,275.09,277.75,66303256
2019-06-26,275.21,276.36,274.66,275.53,58818292
2019-06-25,275.33,277.02,274.19,275.28,60506916
2019-06-24,275.91,276.73,275.13,275.58,55539168
2019-06-21,276.17,276.26,274.6,275.48,77279128
2019-06-20,274.63,276.09,274.43,276.01,55336104
2019-06-19,274.4,275.6,274.08,275.31,69733880
2019-06-18,269.77,271.87,269.77,271.36,65723108
2019-06-17,269.83,271.59,269.14,270.09,57064488
2019-06-14,270.19,271.55,268.96,270.48,66714908
2019-06-13,271.96,272.46,268.38,271.13,95795424
2019-06-12,273.14,274.32,272,272.74,66921112
2019-06-11,271.48,273.69,271.24,273.21,61242524
2019-06-10,270.32,272.2,268.68,272.1,60889860
2019-06-07,267.97,269.63,266.27,268.27,67967400
2019-06-05,270.1,270.46,267.46,267.99,67510600
2019-06-04,267.84,268.47,266.72,267.66,70288512
2019-06-03,262.68,268.55,262.33,268.16,83610384
2019-05-31,262.48,265.21,261.53,263.89,77788408
2019-05-30,261.58,264.23,261.58,263.93,70344896
2019-05-29,264.1,264.1,260.22,261.37,82787688
2019-05-28,264.38,266.16,263.27,264.7,147263104
2019-05-27,264.18,265.85,263.17,264.4,53143032
2019-05-24,264.7,266.11,263.1,264.42,67233872
2019-05-23,266.4,267.12,264.5,266.38,71658496
2019-05-22,267.01,267.6,263.95,266.65,61655032
2019-05-21,265.25,268.55,264.79,266.12,81019776
2019-05-20,265.9,267.65,264.33,264.96,64227040
2019-05-17,267.85,268.06,263.94,264.35,75096480
2019-05-16,269.83,269.96,265.24,265.99,75959984
2019-05-15,268.42,271,267.62,269.64,77018368
2019-05-14,266.03,270.42,265.55,268.57,82188144
2019-05-13,269.8,271.54,268.55,268.72,66867020
2019-05-10,273.37,274.32,269.71,272.06,89435400
2019-05-09,278.83,279.63,271,271,124007640
2019-05-08,277.85,281.84,277.84,280.15,75002624
2019-05-07,280.89,281.66,278.95,281.31,97721608
2019-05-03,285.64,285.95,283.14,283.67,67794312
2019-05-02,283.37,286.87,283.14,286.12,84184680
2019-04-30,286.25,286.59,282.61,284.92,77989672
