Date,Open,High,Low,Close,SMAVG (12)  on Close,Volume,SMAVG (15),ATR(5) (KOSPI),RSI (14)  on Close (KOSPI)
2019-05-21,2066.53,2077.1,2051.69,2064.63,2158.71,640200000,1920013312,50.4969,39.8386
2019-05-19,2091.8,2101.09,2053.79,2055.8,2169.61,3060000000,1931924736,63.0402,38.7876
2019-05-12,2172.39,2179.51,2090.39,2108.04,2184.17,2400000000,1889924736,67.4354,42.9052
2019-05-05,2183.41,2217.03,2181.82,2196.32,2191.5,1750000000,1866591360,48.188,51.481
2019-04-28,2218.5,2229.75,2168.15,2179.31,2189.9,2560000000,1903924736,53.4219,49.6815
2019-04-21,2242.31,2252.05,2210.43,2216.15,2191.91,2520000000,1865924736,49.3329,53.6858
2019-04-14,2217.66,2233.45,2202.49,2233.45,2188.71,2010000000,1775257984,53.1892,55.6413
2019-04-07,2153.31,2216.15,2153.31,2209.61,2179.61,1830000000,1731924736,64.3039,53.4727
2019-03-31,2158.8,2159.25,2120.93,2140.67,2168.44,1620000000,1745257984,58.7158,46.4415
2019-03-24,2179.69,2200.32,2152.21,2186.95,2157.57,1570000000,1763924736,55.0637,51.2713
2019-03-17,2140.29,2181.77,2125.54,2176.11,2145.41,1640000000,1815924736,58.5406,50.1436
2019-03-10,2210.97,2216.02,2137.44,2137.44,2135.86,1620000000,1807257984,59.6958,46.0043
2019-03-03,2241.13,2241.76,2195.44,2195.44,2130.19,1480000000,1785257984,50.2537,52.0194
2019-02-24,2207.36,2234.68,2193.34,2230.5,2120.22,1870000000,1797924736,52.2205,56.1395
2019-02-17,2180.54,2225.85,2167.36,2196.09,2109.08,2230000128,1792591360,57.6609,52.7272
2019-02-10,2215.77,2215.79,2171.96,2177.05,2097.53,818870016,1774591360,57.2463,50.7589
2019-02-03,2184.41,2222.88,2162.53,2203.46,2090.48,2430000128,1847333376,63.9545,53.6353
2019-01-27,2133.87,2178.01,2106.74,2177.73,2080.69,2050000000,1780666624,65.7568,51.13
2019-01-20,2070.49,2124.5,2059.46,2124.28,2073.88,2310000128,1729333376,63.0002,45.4434
2019-01-13,2034.24,2076.99,2023.59,2075.57,2065.79,1990000000,1652666624,61.9802,39.4846
2019-01-06,2050.55,2053.45,1984.53,2010.25,2072.51,1160000000,1559806720,59.6003,29.9585
2018-12-30,2050.38,2059.94,2014.28,2041.04,2085.15,1360000000,1589806720,54.9405,32.1754
2018-12-23,2071.21,2080.65,2047.52,2061.49,2104.02,2030000000,1606473344,58.8058,33.7141
2018-12-16,2048.45,2104.43,2043.21,2069.38,2127.49,1900000000,1578473344,71.6438,34.3017
2018-12-09,2127.78,2136.64,2064,2075.76,2149.97,2350000128,1544473344,76.8557,34.7566
2018-12-02,2060.17,2136.74,2060.17,2096.86,2170.18,1510000000,1489139968,78.9637,36.2322
2018-11-25,2096.13,2111.39,2047.96,2057.48,2185.57,1290000000,1464473344,78.8155,31.1677
2018-11-18,2065.92,2103.11,2032.05,2092.4,2207.69,1670000000,1465806720,86.5083,33.3486
2018-11-11,2079.81,2120.88,2052.67,2086.09,2224.42,1790000000,1439139968,94.2324,32.5568
2018-11-04,2026.68,2096.63,1985.95,2096,2237.83,1960000000,1429806720,107.2436,33.1308
2018-10-28,2143.08,2163.21,2008.86,2027.15,2253.4,1910000000,1425806720,105.5255,24.5489
2018-10-21,2155.34,2182.77,2117.62,2156.26,2275.11,1430000000,1416473344,81.1132,31.6138
2018-10-14,2258.73,2273.71,2129.13,2161.85,2286.67,1280000000,1439139968,89.0949,31.9838
2018-10-07,2349.64,2352.11,2250.99,2267.52,2297.28,1160000000,1501806720,61.3523,40.2549
2018-09-30,2331.7,2356.62,2331.7,2343.07,2300.9,597100032,1597806720,41.4683,48.5986
2018-09-23,2314.55,2339.17,2287.42,2339.17,2295.05,1610000000,1696666624,49.7424,48.0828
2018-09-16,2277.35,2318.65,2271,2318.25,2293.96,1610000000,1718666624,48.7386,45.3512
2018-09-09,2317.93,2318.72,2264.9,2281.58,2297.21,1610000000,1830000000,49.2829,40.2329
2018-09-02,2297.32,2322.88,2289.41,2322.88,2307.41,1390000000,1898000000,44.9344,44.6016
2018-08-26,2257.35,2295.22,2244.59,2293.21,2318.14,1520000000,2010666624,50.6666,40.2754
2018-08-19,2266.43,2271.82,2218.09,2247.05,2330.28,1140000000,2069333376,50.685,32.6807
2018-08-12,2288.51,2308.6,2277.89,2282.79,2348.1,1310000000,2178666752,43.6775,35.9691
2018-08-05,2290.18,2312.65,2265.46,2287.68,2362.92,1270000000,2270000128,50.1612,36.4349
2018-07-29,2289.61,2297.16,2263.13,2294.99,2378.75,1650000000,2361999872,51.6468,37.1018
2018-07-22,2312.26,2319.39,2269.55,2289.19,2392.62,1900000000,2377333248,60.4553,36.242
2018-07-15,2276.92,2313.8,2262.77,2310.9,2409.55,1770000000,2416000000,65.763,38.0499
2018-07-08,2322.23,2327.59,2243.9,2272.87,2423.34,1770000000,2422666752,73.1294,32.5792
2018-07-01,2351.89,2361.39,2296.39,2326.13,2438.52,2220000000,2445333248,67.8491,36.806
2018-06-24,2404.68,2405.56,2320.76,2357.22,2447.14,2600000000,2418666752,69.2736,39.5902
2018-06-17,2454.25,2479.56,2403.97,2404.04,2454.53,2080000000,2376000000,61.5104,44.2735
2018-06-10,2444.62,2478.67,2432.81,2451.58,2455.59,1940000000,2322666752,54.4705,49.8314
2018-06-03,2465,2482.4,2399.58,2438.96,2459.12,3280000000,2315333376,58.7758,48.2293
2018-05-27,2464.07,2481.31,2444.77,2460.8,2460.83,2630000128,2168666624,46.7538,50.8381
2018-05-20,2482.97,2486.17,2444.67,2460.65,2455.94,3080000000,2149333248,51.8607,50.8211
2018-05-13,2468.45,2483.85,2428.79,2477.71,2455.18,2400000000,2098000000,57.041,52.7433
2018-05-06,2502.29,2516.57,2461.38,2461.38,2450.52,2780000000,2071333376,58.0315,51.0993
2018-04-29,2473.7,2508.13,2436.51,2492.4,2442.39,2680000000,2004000000,59.4521,54.4398
2018-04-22,2466.04,2490.57,2449.08,2476.33,2445.14,2649999872,1959333376,53.3683,52.9606
2018-04-15,2424.15,2458.99,2419.55,2455.07,2453.34,1880000000,1865333376,59.3074,51.0064
2018-04-08,2454.72,2467.52,2405.91,2429.58,2458.77,2480000000,1782655360,69.2411,48.6305
2018-04-01,2414.68,2458.24,2399.44,2445.85,2464.34,1870000000,1707321984,73.0566,50.0696
2018-03-25,2491.99,2508.71,2412.62,2416.76,2468.65,2110000000,1677988736,80.1849,47.4897
2018-03-18,2485.64,2497.8,2471.04,2493.97,2472.88,1820000000,1673321984,72.2324,54.4198
2018-03-11,2405.92,2476.43,2374.8,2459.45,2468.43,1960000000,1655988736,89.1736,51.4803
2018-03-04,2465.35,2480.79,2387.25,2402.16,2470.31,1280000000,1662655360,82.9454,46.1261
2018-02-25,2452.52,2455.12,2404.02,2451.52,2475.46,1830000000,1685321984,77.6481,50.5927
2018-02-18,2380.49,2426.63,2367.31,2421.83,2477.46,1080000000,1652655360,90.9222,47.7677
2018-02-11,2487.34,2503.99,2346.73,2363.77,2487.66,2340000000,1703321984,104.9533,41.7163
2018-02-04,2588.87,2607.1,2519.6,2525.39,2501.85,2310000128,1697988736,68.1,59.5495
2018-01-28,2516.9,2574.76,2488.44,2574.76,2503.31,2000000000,1625321984,58.4,67.7668
2018-01-21,2510.97,2532.08,2496.18,2520.26,2501.91,1770000000,1552957312,44.44,62.4563
2018-01-14,2510.7,2524.73,2482.15,2496.42,2499.94,2010000000,1517624064,48.7099,59.7637
2018-01-07,2474.86,2502.5,2465.94,2497.52,2499.37,1240000000,1483623936,51.7748,59.9479
2017-12-31,2447.67,2467.51,2411.48,2467.49,2497.38,639830016,1501624064,59.3821,56.5532
2017-12-24,2488.83,2498.67,2426.94,2440.54,2491.29,1350000000,1546301952,61.0582,53.2512
2017-12-17,2467.81,2514.61,2455.39,2482.07,2486.97,1430000000,1542968704,55.7223,59.749
2017-12-10,2486.72,2513.68,2452.4,2464,2478.97,2040000000,1536301952,53.9733,57.6617
2017-12-03,2544.74,2546.71,2472.75,2475.41,2468.95,1560000000,1463088000,50.32,59.4699
2017-11-26,2536.8,2553.22,2523.52,2544.33,2459.14,2060000000,1447754624,38.5,72.1622
2017-11-19,2548.27,2559.1,2511.76,2533.99,2445.32,1620000000,1402421376,42.9,71.3091
2017-11-12,2557.29,2559.93,2529.94,2542.95,2430.69,1340000000,1400421376,40.6799,73.1118
2017-11-05,2513.87,2561.63,2497.42,2557.97,2412.08,1840000000,1397088000,46.0248,76.1068
2017-10-29,2497.65,2500.33,2479.67,2496.63,2398.54,2260000000,1367754624,36.5373,71.7125
2017-10-22,2483.17,2490.94,2468.67,2489.54,2390.57,1220000000,1328421376,44.4758,71.1429
2017-10-15,2425.63,2479.73,2421.1,2473.62,2387.28,914529984,1369088000,55.5787,69.8783
2017-10-01,2388.77,2394.47,2365.34,2394.47,2382.36,1240000000,1412786048,40.7381,62.2381
2017-09-24,2390.58,2429.12,2381.81,2388.71,2381.15,1500000000,1444119296,46.5422,61.5796
2017-09-17,2354.86,2386.07,2354.35,2386.07,2381.41,1510000000,1453452672,46.1583,61.2923
2017-09-10,2316.89,2351.73,2314.31,2343.72,2380.78,1310000000,1494119296,48.0624,56.4406
2017-09-03,2376.38,2383.46,2332.85,2357.69,2382.29,1300000000,1524786048,50.4036,58.6941
2017-08-27,2363.38,2384.59,2351.96,2378.51,2384.29,1330000000,1558786048,50.3005,62.1268
2017-08-20,2336.02,2364.5,2327.8,2358.37,2383.73,941790016,1570119296,59.1357,60.0269
2017-08-13,2402.57,2412.13,2310.2,2319.71,2383.47,1330000000,1544470656,66.3086,55.6431
2017-08-06,2392.02,2434.47,2374.11,2395.45,2380.87,1380000000,1569137280,48.4979,69.5111
2017-07-30,2451.41,2453.17,2399.06,2400.99,2371.75,1590000000,1573137280,42.567,70.7081
2017-07-23,2427.76,2451.59,2419.17,2450.06,2358.44,1290000000,1611804032,36.7955,82.3744
2017-07-16,2386.3,2422.26,2378.04,2414.63,2338.05,1400000000,1686470656,36.7132,80.1822
2017-07-09,2397.66,2399.9,2372.83,2379.87,2317.25,1670000000,1759804032,32.9598,77.6496
2017-07-02,2381.09,2402.8,2377.88,2391.79,2296.84,1830000000,1760470656,35.9048,80.9434
2017-06-25,2364.02,2382.54,2346.19,2378.6,2276.83,1570000000,1760470656,41.3971,80.0749
2017-06-18,2370.69,2387.29,2350.37,2361.83,2258.63,1710000000,1789137280,43.9207,78.942
2017-06-11,2376.66,2385.15,2347.62,2381.69,2242.56,1640000000,1781804032,47.421,84.2073
2017-06-04,2362.59,2372.65,2332.16,2371.72,2224.47,2120000000,1787137280,52.3667,83.7005
2017-05-28,2300.68,2364.8,2292.95,2355.3,2201.6,1770000000,1751804032,58.305,82.8593
2017-05-21,2288.23,2309,2267.08,2288.48,2178.56,1810000000,1727137280,49.2975,78.7069
2017-05-14,2245.61,2323.22,2244.23,2286.02,2162.36,1500000000,1737137280,52.9863,78.5291
2017-05-07,2213.61,2241.24,2212.87,2241.24,2145.24,557059968,1725804032,38.4894,75.0003
2017-04-30,2175.5,2217.04,2166.83,2205.44,2131.39,1700000000,1863333376,39.8341,71.5263
2017-04-23,2140.87,2169.46,2133.82,2165.04,2120.37,1440000000,1904666624,33.7511,66.6734
2017-04-16,2148.83,2148.83,2117.82,2134.88,2113.58,2169999872,1933333376,32.8067,62.2083
2017-04-09,2166.04,2171.33,2142.51,2151.73,2107.81,2409999872,1880000000,32.2551,66.8551
2017-04-02,2161.17,2174.16,2153.14,2160.23,2101.57,2500000000,1814666624,33.9726,69.2791
2017-03-26,2160.32,2182.42,2151.51,2168.95,2092.31,1680000000,1758000000,40.4489,71.7576
2017-03-19,2102.37,2164.59,2100.91,2164.58,2080.43,1830000000,1720666624,45.2184,71.2794
2017-03-12,2073.2,2102.05,2067.68,2097.35,2069.71,2000000000,1673333376,34.2076,62.1175
2017-03-05,2095.47,2112.58,2072.09,2078.75,2065.12,1600000000,1620000000,34.1263,58.7359
2017-02-26,2084.16,2108.99,2077.13,2094.12,2060.61,1720000000,1620666624,30.9444,63.0549
2017-02-19,2074.94,2092.59,2068.16,2080.58,2050.32,1590000000,1638000000,30.4865,60.6904
2017-02-12,2085.73,2088.37,2052.29,2075.08,2041.48,1400000000,1636000000,33.5147,59.718
2017-02-05,2077.66,2092.45,2064.05,2073.16,2033.1,1960000000,1643333376,32.2321,59.3923
2017-01-29,2067.62,2088.6,2058.59,2083.59,2025.71,1330000000,1612666624,34.1482,61.9171
2017-01-22,2077.03,2091.02,2058.35,2065.61,2017.24,2620000000,1647333376,36.2172,59.1365
2017-01-15,2053.18,2087.14,2039.5,2076.79,2013.39,2320000000,1564000000,37.9909,61.7393
2017-01-08,2022.23,2051.84,2015.68,2049.12,2009.74,1870000000,1563333376,33.1664,57.4337
2017-01-01,2038.33,2044.43,2016.25,2026.46,2007.54,1370000000,1589333376,31.6695,53.4501
2016-12-25,2039.4,2053.46,2031.54,2035.9,2009.82,1430000000,1555353984,33.4142,55.4578
2016-12-18,2031.95,2044.42,2020.97,2042.24,2010.46,1650000000,1644687360,39.1614,56.788
2016-12-11,1965.71,2031.07,1960.65,2024.69,2011.45,1120000000,1650687360,47.0171,53.9487
2016-12-04,1976.58,1989.08,1966.42,1970.61,2009.34,1120000000,1679353984,35.3157,43.2857
2016-11-27,1971.03,1996.65,1962.42,1974.46,2014.94,1200000000,1705353984,41.6435,43.9585
2016-11-20,1982.93,1988.65,1967.21,1974.58,2020.26,1610000000,1742687360,45.3503,43.9783
2016-11-13,1997.58,2015.23,1931.07,1984.43,2025.51,1980000000,1760687360,57.3055,45.5407
2016-11-06,2011.29,2016.01,1973.58,1982.02,2031.49,1560000000,1750020608,43.8782,45.0975
2016-10-30,2037.19,2047.74,2002.29,2019.42,2037.19,1510000000,1765353984,42.8972,51.0878
2016-10-23,2028.93,2050.51,2011.81,2033,2037.07,1500000000,1794687360,41.6209,53.483
2016-10-16,2047.19,2060.78,2014.89,2022.66,2035.67,1850000000,1832687360,43.0813,51.8881
2016-10-09,2056.94,2070.43,2036.87,2053.8,2034.64,1370000000,1844020608,41.677,57.3907
2016-10-02,2052.76,2072.09,2031.13,2043.63,2031.6,2310000128,1923353984,45.7355,55.9748
2016-09-25,1997.43,2060.26,1997.1,2054.07,2024.89,2260000000,1914687360,48.1232,57.8058
2016-09-18,2003.67,2013.03,1991.47,1999.36,2019.32,860310016,1896020608,40.6047,49.8183
2016-09-11,2049.19,2073.89,2029.46,2037.87,2013.15,2769999872,2020000000,37.7071,56.8527
2016-09-04,2028.64,2049.99,2016.47,2038.31,2006.11,1740000000,2012666624,34.3456,56.938
