date,Spx
2019-05-31,2752.06
2019-04-30,2945.83
2019-03-29,2834.4
2019-02-28,2784.49
2019-01-31,2704.1
2018-12-31,2506.85
2018-11-30,2760.17
2018-10-31,2711.74
2018-09-28,2913.98
2018-08-31,2901.52
2018-07-31,2816.29
2018-06-29,2718.37
2018-05-31,2705.27
2018-04-30,2648.05
2018-03-30,2640.87
2018-02-28,2713.83
2018-01-31,2823.81
2017-12-29,2673.61
2017-11-30,2647.58
2017-10-31,2575.26
2017-09-29,2519.36
2017-08-31,2471.65
2017-07-31,2470.3
2017-06-30,2423.41
2017-05-31,2411.8
2017-04-28,2384.2
2017-03-31,2362.72
2017-02-28,2363.64
2017-01-31,2278.87
2016-12-30,2238.83
2016-11-30,2198.81
2016-10-31,2126.15
2016-09-30,2168.27
2016-08-31,2170.95
2016-07-29,2173.6
2016-06-30,2098.86
2016-05-31,2096.96
2016-04-29,2065.3
2016-03-31,2059.74
2016-02-29,1932.23
2016-01-29,1940.24
2015-12-31,2043.94
2015-11-30,2080.41
2015-10-30,2079.36
2015-09-30,1920.03
2015-08-31,1972.18
2015-07-31,2103.84
2015-06-30,2063.11
2015-05-29,2107.39
2015-04-30,2085.51
2015-03-31,2067.89
2015-02-27,2104.5
2015-01-30,1994.99
2014-12-31,2058.9
2014-11-28,2067.56
2014-10-31,2018.05
2014-09-30,1972.29
2014-08-29,2003.37
2014-07-31,1930.67
2014-06-30,1960.23
2014-05-30,1923.57
2014-04-30,1883.95
2014-03-31,1872.34
2014-02-28,1859.45
2014-01-31,1782.59
2013-12-31,1848.36
2013-11-29,1805.81
2013-10-31,1756.54
2013-09-30,1681.55
2013-08-30,1632.97
2013-07-31,1685.73
2013-06-28,1606.28
2013-05-31,1630.74
2013-04-30,1597.57
2013-03-29,1569.19
2013-02-28,1514.68
2013-01-31,1498.11
2012-12-31,1426.19
2012-11-30,1416.18
2012-10-31,1412.16
2012-09-28,1440.67
2012-08-31,1406.58
2012-07-31,1379.32
2012-06-29,1362.16
2012-05-31,1310.33
2012-04-30,1397.91
2012-03-30,1408.47
2012-02-29,1365.68
2012-01-31,1312.41
2011-12-30,1257.6
2011-11-30,1246.96
2011-10-31,1253.3
2011-09-30,1131.42
2011-08-31,1218.89
2011-07-29,1292.28
2011-06-30,1320.64
2011-05-31,1345.2
2011-04-29,1363.61
2011-03-31,1325.83
2011-02-28,1327.22
2011-01-31,1286.12
2010-12-31,1257.64
2010-11-30,1180.55
2010-10-29,1183.26
2010-09-30,1141.2
2010-08-31,1049.33
2010-07-30,1101.6
2010-06-30,1030.71
2010-05-31,1089.41
2010-04-30,1186.69
2010-03-31,1169.43
2010-02-26,1104.49
2010-01-29,1073.87
2009-12-31,1115.1
2009-11-30,1095.63
2009-10-30,1036.19
2009-09-30,1057.08
2009-08-31,1020.63
2009-07-31,987.48
2009-06-30,919.32
2009-05-29,919.14
2009-04-30,872.81
2009-03-31,797.87
2009-02-27,735.09
2009-01-30,825.88
2008-12-31,903.25
2008-11-28,896.24
2008-10-31,968.75
2008-09-30,1166.36
2008-08-29,1282.83
2008-07-31,1267.38
2008-06-30,1280
2008-05-30,1400.38
2008-04-30,1385.59
2008-03-31,1322.7
2008-02-29,1330.63
2008-01-31,1378.55
2007-12-31,1468.35
2007-11-30,1481.14
2007-10-31,1549.38
2007-09-28,1526.75
2007-08-31,1473.99
2007-07-31,1455.28
2007-06-29,1503.35
2007-05-31,1530.62
2007-04-30,1482.37
2007-03-30,1420.86
2007-02-28,1406.82
2007-01-31,1438.24
2006-12-29,1418.3
2006-11-30,1400.63
2006-10-31,1377.94
2006-09-29,1335.85
2006-08-31,1303.82
2006-07-31,1276.66
2006-06-30,1270.2
2006-05-31,1270.09
2006-04-28,1310.61
2006-03-31,1294.83
2006-02-28,1280.66
2006-01-31,1280.08
2005-12-30,1248.29
2005-11-30,1249.48
2005-10-31,1207.01
2005-09-30,1228.81
2005-08-31,1220.33
2005-07-29,1234.18
2005-06-30,1191.33
2005-05-31,1191.5
2005-04-29,1156.85
2005-03-31,1180.59
2005-02-28,1203.6
2005-01-31,1181.27
2004-12-31,1211.92
2004-11-30,1173.82
2004-10-29,1130.2
2004-09-30,1114.58
2004-08-31,1104.24
2004-07-30,1101.72
2004-06-30,1140.84
2004-05-31,1120.68
2004-04-30,1107.31
2004-03-31,1126.21
2004-02-27,1144.94
2004-01-30,1131.13
2003-12-31,1111.92
2003-11-28,1058.2
2003-10-31,1050.71
2003-09-30,995.97
2003-08-29,1008.01
2003-07-31,990.31
2003-06-30,974.5
2003-05-30,963.59
2003-04-30,916.92
2003-03-31,848.18
2003-02-28,841.15
2003-01-31,855.7
2002-12-31,879.82
2002-11-29,936.31
2002-10-31,885.76
2002-09-30,815.28
2002-08-30,916.07
2002-07-31,911.62
2002-06-28,989.81
2002-05-31,1067.14
2002-04-30,1076.92
2002-03-29,1147.39
2002-02-28,1106.73
2002-01-31,1130.2
2001-12-31,1148.08
2001-11-30,1139.45
2001-10-31,1059.78
2001-09-28,1040.94
2001-08-31,1133.58
2001-07-31,1211.23
2001-06-29,1224.42
2001-05-31,1255.82
2001-04-30,1249.46
2001-03-30,1160.33
2001-02-28,1239.94
2001-01-31,1366.01
2000-12-29,1320.28
2000-11-30,1314.95
2000-10-31,1429.4
2000-09-29,1436.51
2000-08-31,1517.68
2000-07-31,1430.83
2000-06-30,1454.6
2000-05-31,1420.6
2000-04-28,1452.43
2000-03-31,1498.58
2000-02-29,1366.42
2000-01-31,1394.46
1999-12-31,1469.25
1999-11-30,1388.91
1999-10-29,1362.93
1999-09-30,1282.71
1999-08-31,1320.41
1999-07-30,1328.72
1999-06-30,1372.71
1999-05-31,1301.84
1999-04-30,1335.18
1999-03-31,1286.37
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
