Date,kospi_o,kospi_h,kospi_l,kospi_c,sp_o,sp_h,sp_l,sp_c
2019-06-25,2125.74,2136.24,2115.11,2121.64,,,,
2019-06-24,2130.32,2134.48,2123.88,2126.33,2951.42,2954.92,2944.05,2945.35
2019-06-21,2132.38,2132.68,2120.15,2125.62,2952.71,2964.15,2946.87,2950.46
2019-06-20,2121.78,2131.77,2120.42,2131.29,2949.6,2958.06,2931.5,2954.18
2019-06-19,2119.54,2126.74,2117.64,2124.78,2920.55,2931.74,2911.43,2926.46
2019-06-18,2089.31,2103.02,2089.31,2098.71,2906.71,2930.79,2905.44,2917.75
2019-06-17,2091.71,2103.59,2087.25,2090.73,2889.75,2897.27,2887.3,2889.67
2019-06-14,2096.32,2103.02,2087.47,2095.41,2886.82,2894.45,2879.62,2886.98
2019-06-13,2104.46,2108.01,2081.92,2103.15,2886.24,2895.24,2881.99,2891.64
2019-06-12,2111.66,2118.89,2104.41,2108.75,2882.73,2888.57,2874.68,2879.84
2019-06-11,2096.09,2114.57,2094.6,2111.81,2903.27,2910.61,2878.53,2885.72
2019-06-10,2087.37,2099.65,2075.51,2099.49,2885.83,2904.77,2885.51,2886.73
2019-06-07,2070.78,2081.16,2057.97,2072.33,2852.87,2884.97,2852.87,2873.34
2019-06-05,2084.16,2086.49,2065.71,2069.11,2818.09,2827.28,2800.92,2826.15
2019-06-04,2066.78,2072.19,2060.98,2066.97,2762.64,2804.49,2762.64,2803.27
2019-06-03,2031.03,2070.58,2029.17,2067.85,2751.53,2763.07,2728.81,2744.45
2019-05-31,2029.03,2048.9,2022.97,2041.74,2766.15,2768.98,2750.52,2752.06
2019-05-30,2024.33,2040.66,2023.91,2038.8,2786.94,2799,2776.74,2788.86
2019-05-29,2046.71,2046.71,2016.25,2023.32,2790.25,2792.03,2766.06,2783.02
2019-05-28,2044.77,2058.42,2038.52,2048.83,2830.03,2840.51,2801.58,2802.39
2019-05-27,2044.25,2055.13,2035.87,2044.21,,,,
2019-05-24,2047.3,2057.38,2035.98,2045.31,2832.41,2841.36,2820.19,2826.06
2019-05-23,2063.25,2065.86,2046.82,2059.59,2836.7,2836.7,2805.49,2822.24
2019-05-22,2068.65,2070.8,2048.01,2064.86,2856.06,2865.47,2851.11,2856.27
2019-05-21,2056.95,2076.47,2053.69,2061.25,2854.02,2868.88,2854.02,2864.36
